molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,assay_chembl_id,data_validity_comment,document_chembl_id,target_chembl_id
CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,IC50,=,750.0,nM,6.12,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL336398,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,IC50,=,100.0,nM,7.00,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL131588,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL130628,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,IC50,=,300.0,nM,6.52,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL130478,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,IC50,=,800.0,nM,6.10,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL130112,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,IC50,=,2400.0,nM,5.62,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL130098,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,IC50,=,100.0,nM,7.00,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL337486,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL336538,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,IC50,=,800.0,nM,6.10,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL131051,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL341437,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,IC50,>,50000.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL335033,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,IC50,=,50.0,nM,7.30,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL122983,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,IC50,>,100000.0,nM,,B,CHEMBL643376,,CHEMBL1130748,CHEMBL220
CHEMBL338720,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,IC50,=,560.0,nM,6.25,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL339995,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,IC50,<,10.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL335158,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,IC50,<,10.0,nM,,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
CHEMBL131536,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,IC50,=,1400.0,nM,5.85,B,CHEMBL643384,,CHEMBL1148382,CHEMBL220
