molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,activity_comment,assay_type,document_chembl_id,target_chembl_id
CHEMBL160347,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,Inhibition,,,%,,Not Determined,B,CHEMBL1151505,CHEMBL220
CHEMBL160347,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,Inhibition,,,%,,Not Determined,B,CHEMBL1151505,CHEMBL220
CHEMBL160347,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,Inhibition,,,%,,Not Determined,B,CHEMBL1151505,CHEMBL220
CHEMBL160347,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,Inhibition,,,%,,Not Determined,B,CHEMBL1151505,CHEMBL220
CHEMBL160836,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,Inhibition,=,15.1,%,,,B,CHEMBL1151505,CHEMBL220
CHEMBL160836,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,Inhibition,=,19.4,%,,,B,CHEMBL1151505,CHEMBL220
CHEMBL160836,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,Inhibition,=,30.9,%,,,B,CHEMBL1151505,CHEMBL220
CHEMBL160836,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,Inhibition,=,0.2,%,,,B,CHEMBL1151505,CHEMBL220
CHEMBL433041,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,Inhibition,=,33.2,%,,,B,CHEMBL1151505,CHEMBL220
CHEMBL433041,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,Inhibition,=,52.3,%,,,B,CHEMBL1151505,CHEMBL220
CHEMBL433041,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,Inhibition,=,72.9,%,,,B,CHEMBL1151505,CHEMBL220
CHEMBL433041,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,Inhibition,=,20.8,%,,,B,CHEMBL1151505,CHEMBL220
CHEMBL158946,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,Inhibition,,,%,,,B,CHEMBL1151505,CHEMBL220
CHEMBL158946,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,Inhibition,,,%,,,B,CHEMBL1151505,CHEMBL220
CHEMBL158946,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,Inhibition,,,%,,,B,CHEMBL1151505,CHEMBL220
CHEMBL158946,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,Inhibition,,,%,,,B,CHEMBL1151505,CHEMBL220
CHEMBL84,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,Inhibition,=,20.0,%,,,B,CHEMBL1134474,CHEMBL220
CHEMBL65,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,Inhibition,=,23.0,%,,,B,CHEMBL1134474,CHEMBL220
CHEMBL288053,CCc1c2c(nc3ccc4c(c13)N(C)CCO4)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,Inhibition,=,19.0,%,,,B,CHEMBL1134474,CHEMBL220
CHEMBL290652,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c4c(cc(CN5CCOCC5)c3nc2-1)OCCN4,Inhibition,,,%,,Not Determined,B,CHEMBL1134474,CHEMBL220
CHEMBL296862,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c4c(ccc3nc2-1)OCCN4CC#N,Inhibition,=,20.0,%,,,B,CHEMBL1134474,CHEMBL220
CHEMBL297040,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c4c(cc(CN(C)C)c3nc2-1)OCCN4,Inhibition,,,%,,Not Determined,B,CHEMBL1134474,CHEMBL220
CHEMBL837,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,Inhibition,=,13.0,%,,,B,CHEMBL1134474,CHEMBL220
CHEMBL44044,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c4c(ccc3nc2-1)OCCN4,Inhibition,=,13.0,%,,,B,CHEMBL1134474,CHEMBL220
CHEMBL289665,CCc1c2c(nc3ccc4c(c13)NCCO4)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,Inhibition,=,12.0,%,,,B,CHEMBL1134474,CHEMBL220
CHEMBL445883,CCN1CCOc2ccc3nc4c(cc3c21)Cn1c-4cc2c(c1=O)COC(=O)[C@]2(O)CC,Inhibition,=,9.0,%,,,B,CHEMBL1134474,CHEMBL220
CHEMBL297811,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c4c(ccc3nc2-1)OCCN4C,Inhibition,=,14.0,%,,,B,CHEMBL1134474,CHEMBL220
CHEMBL41652,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c4c(ccc3nc2-1)OCCN4CCN,Inhibition,=,17.0,%,,,B,CHEMBL1134474,CHEMBL220
CHEMBL294784,C/C=C1\C2C=C(C)CC1(OC(C)=O)c1ccc(O)nc1C2,Inhibition,=,6.36,%,,,B,CHEMBL1133307,CHEMBL220
CHEMBL292299,C/C=C1\C2C=C(C)CC1(O)c1ccc(O)nc1C2,Inhibition,=,50.0,%,,,B,CHEMBL1133307,CHEMBL220
CHEMBL293254,C/C=C1\C2C=C(C)CC1(F)c1ccc(O)nc1C2,Inhibition,=,50.0,%,,,B,CHEMBL1133307,CHEMBL220
CHEMBL325338,CCC1=CC2Cc3nc4ccccc4c(N)c3C(C1)C2,Inhibition,,,%,,No data,B,CHEMBL1133449,CHEMBL220
